emp_code,net_salary
EMP001,62363.33
EMP002,172166.67
emp_code,net_salary
EMP001,62363.33
EMP002,172166.67
emp_code,net_salary
EMP001,62363.33
EMP002,172166.67
emp_code,net_salary
EMP001,62363.33
EMP002,172166.67
emp_code,net_salary
EMP001,62363.33
EMP002,172166.67
emp_code,net_salary
EMP001,62363.33
EMP002,172166.67
emp_code,net_salary
EMP001,62363.33
EMP002,172166.67
emp_code,net_salary
EMP001,62363.33
EMP002,172166.67
emp_code,net_salary
EMP001,62363.33
EMP002,172166.67
emp_code,net_salary
EMP001,62363.33
EMP002,172166.67
emp_code,net_salary
EMP001,62363.33
EMP002,172166.67
emp_code,net_salary
EMP001,62363.33
EMP002,172166.67
emp_code,net_salary
EMP001,62363.33
EMP002,172166.67
emp_code,net_salary
EMP001,62363.33
EMP002,172166.67
emp_code,net_salary
EMP001,62363.33
EMP002,172166.67
